date,geography,population_covered,population_basis,is_official,source_url,notes
2025-06-22,Austin,58615,"core-city population density x geofence sq mi (estimate)",FALSE,https://driveteslacanada.ca/news/tesla-robotaxi-austin-geofence-expansion/,"ESTIMATE. Launch geofence reported as ~18-20 sq mi (midpoint 19 sq mi used) per DriveTeslaCanada's retrospective on Austin's expansion history. Method: Austin city population (1,002,632, 2025 est., cross-checked against US Census Bureau QuickFacts/Gazetteer land-area data at census.gov/quickfacts/fact/table/austincitytexas) / Austin city land area (325.0 sq mi) = 3,085 people/sq mi; 19 sq mi x 3,085/sq mi = 58,615. Assumes uniform density across the geofence and that the launch-day zone lies within Austin city limits (reasonable for a small initial invite-only area). Could over- or under-estimate depending on whether the launch zone targeted a denser urban core or a looser suburban fringe -- flagged as moderate confidence."
2025-10-28,Austin,752740,"core-city population density x geofence sq mi (estimate)",FALSE,https://driveteslacanada.ca/news/tesla-robotaxi-austin-geofence-expansion/,"ESTIMATE. The (supervised, app-wide) service area reached ~243-245 sq mi by 2025-10-28 (midpoint 244 sq mi used) per DriveTeslaCanada. Same density method as the prior row: 244 x 3,085/sq mi = 752,740. By this point the geofence clearly extends beyond Austin's own city limits into contiguous suburbs -- contemporary reporting loosely calls this the 'full Austin metro,' though 244 sq mi is far smaller than the actual multi-county Austin-Round Rock MSA (4,000+ sq mi). Applying Austin-city density to the suburban portions is an approximation that could run either high or low; flagged as moderate confidence."
2026-08-31,Austin,814440,"core-city population density x geofence sq mi (estimate)",FALSE,https://www.notateslaapp.com/news/4632/tesla-expands-robotaxi-geofences-in-dallas-and-austin,"ESTIMATE. Geofence expanded ~9% on/around 2026-08-31 to ~264 sq mi per Not a Tesla App (a same-week Tesla Oracle/Austin American-Statesman report describes the resulting area as ~288 sq mi instead for what appears to be the same expansion event -- source disagreement not resolved; this row uses the more specific 264 sq mi figure, but the true figure could be as high as 288 sq mi, i.e. as high as ~888,480 people at the same density). Same density method: 264 x 3,085/sq mi = 814,440. Same suburban-density caveat as the prior row applies and compounds at this larger, more suburban-inclusive geofence size. Re-verified 2026-09-23."
2025-07-30,San Francisco Bay Area,2780381,"sum of named-city Census/CA Dept. of Finance populations",FALSE,https://driveteslacanada.ca/news/tesla-expands-robotaxi-service-to-the-bay-area-with-safety-drivers/,"ESTIMATE (LOWER BOUND). Press coverage describes the geofence running 'from north of San Francisco ... Berkeley, Oakland, Fremont ... down to San Jose' and separately confirms invite-only rides specifically in San Francisco, Berkeley, Hayward, Fremont, and San Jose. This row sums each named city's most recent official population estimate: San Francisco 826,079 (Census Bureau, ~2025 est.) + Oakland 440,838 (~2025 est.) + San Jose 990,138 (Census Bureau, ~2024 est.) + Berkeley 128,348 (CA Dept. of Finance, Jan 2025) + Fremont 232,619 (CA DOF, Jan 2025) + Hayward 162,359 (CA DOF, Jan 2025) = 2,780,381. Explicitly a LOWER-BOUND/PARTIAL estimate: the geofence description ('north of the Golden Gate Bridge' to San Jose) implies it also reaches Marin County communities and likely Peninsula cities (e.g. Palo Alto, Redwood City, Daly City) between San Francisco and San Jose that were not explicitly named in any source found, so their populations are NOT included. No source gives an official or unofficial total population-covered figure for the whole Bay Area geofence; one AI-generated web-search summary produced during this research claimed 'over 7 million people,' but the article it cited (teslarati.com) does not actually contain that figure when checked directly -- that unsourced number was discarded and is NOT used anywhere in this dataset. No confirmed geofence-size change was found since the 2025-07-30 launch as of 2026-09-23, so only one row is given for this geography."
2026-04-18,Dallas,118637,"core-city population density x geofence sq mi (estimate)",FALSE,https://mlq.ai/news/tesla-launches-unsupervised-robotaxi-operations-in-dallas-and-houston/,"ESTIMATE. Launch geofence ~30-35 sq mi per mlq.ai, refined to ~31 sq mi in later retrospective reporting (Not a Tesla App's 2026-08-29 expansion article states 31 sq mi as the pre-expansion baseline). Method: Dallas city population (1,302,868, Census Bureau QuickFacts, ~July 2023 est.) / Dallas city land area (340.5 sq mi, Census Bureau) = 3,827 people/sq mi; 31 x 3,827 = 118,637."
2026-08-29,Dallas,309987,"core-city population density x geofence sq mi (estimate)",FALSE,https://www.notateslaapp.com/news/4632/tesla-expands-robotaxi-geofences-in-dallas-and-austin,"ESTIMATE. Geofence more than doubled on/around 2026-08-29 to ~81 sq mi (a ~158-161% increase), extending west toward Irving/US-183 and south through downtown to I-35E (Not a Tesla App; Tesla Oracle 2026-09-01). Same density method: 81 x 3,827/sq mi = 309,987. Portions of this expanded area (e.g. toward the separately-incorporated city of Irving) fall outside Dallas city limits, so Dallas-city density is only an approximation for those portions -- flagged as moderate confidence."
2026-04-18,Houston,48074,"core-city population density x geofence sq mi (estimate)",FALSE,https://mlq.ai/news/tesla-launches-unsupervised-robotaxi-operations-in-dallas-and-houston/,"ESTIMATE. Launch geofence ~12-15 sq mi per mlq.ai (midpoint 13.5 sq mi used). Method: Houston population (2,392,327) / land area (671.745 sq mi, per the City of Houston Planning Department's own figures) = 3,561 people/sq mi; 13.5 x 3,561 = 48,074."
2026-09-20,Houston,74781,"core-city population density x geofence sq mi (estimate)",FALSE,https://www.teslaoracle.com/2026/09/20/large-number-of-tesla-cybercab-robotaxis-spotted-in-houston-hinting-at-a-close-launch/,"ESTIMATE, LOW CONFIDENCE ON THE UNDERLYING GEOFENCE SIZE. September 2026 reporting describes the Houston geofence as ~21-24 sq mi covering a northwest Harris County zone (Jersey Village/Willowbrook, ~14 miles from downtown, along ~5.5 miles of FM 1960); this row uses 21 sq mi (low end of 21-24) x 3,561/sq mi = 74,781. IMPORTANT CAVEAT: unlike Austin and Dallas, no explicit Houston geofence-EXPANSION announcement was found in this research pass, so it is unclear whether this reflects an actual size increase since the 2026-04-18 launch (12-15 sq mi) or simply a different/more precise measurement of the same original area by different journalists. Treat any population delta versus the launch row as UNCONFIRMED growth, not verified fact."
2026-07-03,Miami,17280,"Miami-Dade County-wide population density x geofence sq mi (estimate)",FALSE,https://electrek.co/2026/07/03/tesla-robotaxi-miami-service-area-map/,"ESTIMATE. Geofence ~10-14 sq mi (midpoint 12 sq mi) in western Miami-Dade (West Miami toward Doral/Sweetwater), explicitly excluding downtown Miami, Brickell, Wynwood, the Design District, Miami Beach and Miami International Airport (Electrek service-area map; Fox News; TechTimes). Method deliberately uses MIAMI-DADE COUNTY-WIDE density (2,802,029 population / 1,946 sq mi land area = 1,440/sq mi) rather than City-of-Miami density (~12,000+/sq mi), because the geofence sits in unincorporated western Miami-Dade suburbs, not the dense urban core -- using city-of-Miami density would badly overstate population covered. 12 x 1,440 = 17,280. Still approximate: western Miami-Dade suburbs like Doral/Sweetwater are plausibly somewhat denser than the county-wide average (which is pulled down by large low-density areas toward the Everglades), so this may UNDERstate true coverage; flagged as low-to-moderate confidence. No geofence change found since launch as of 2026-09-23."
2026-07-21,Orlando,40865,"core-city population density x geofence sq mi (estimate)",FALSE,https://www.notateslaapp.com/news/4470/tesla-robotaxi-launches-unsupervised-rides-in-orlando-tampa,"ESTIMATE. Geofence ~12-15 sq mi (midpoint 13.5 sq mi) per Not a Tesla App #4470, covering Conway/Lee Vista in eastern/southeastern Orlando, north of the airport and excluding Walt Disney World, Universal Orlando and SeaWorld. (A separate, less-precise Automotive World estimate described the zone as possibly 25-45 sq mi -- roughly 2-3x the NotATeslaApp figure and not independently corroborated; if that larger estimate were correct, population covered could be as high as ~91,000-136,000 at the same density. This row uses the more specific/sourced NotATeslaApp figure as primary.) Method: Orlando population (334,871, 2024 ACS 1-year est.) / land area (110.6 sq mi, Census) = 3,027 people/sq mi; 13.5 x 3,027 = 40,865. No geofence change found since launch as of 2026-09-23."
