date_scraped,geography,tracker_name,tracker_url,estimated_vehicle_count,method_notes,confidence_notes
2025-12-22,Austin,Robotaxi Tracker (Ethan McKanna),https://robotaxitracker.com/,32,"Reverse-engineered Tesla Robotaxi app APIs; identified distinct Model Ys via plate/VIN spotting cross-referenced with app pings; polled ~10 locations across Austin every 5 minutes to measure availability","Figure cited via Electrek 2025-12-22 (""Tesla's Robotaxi project in Austin is much smaller than Musk claims""); article notes fewer than 10 vehicles observed operating simultaneously despite 32 total distinct vehicles identified; likely undercounts true total fleet since it only counts vehicles that surface in app pings"
2026-02-16,Austin,Robotaxi Tracker,https://robotaxitracker.com/vehicles?area=austin&provider=tesla,42,"App API polling + community plate spotting","Cited via Electrek 2026-02-16 (""8 months in, 19% availability""); same article reports 19% service availability over the prior 48 hours and ~200 vehicles total across Austin + Bay Area combined"
2026-05-13,Austin,Robotaxi Tracker,https://robotaxitracker.com/,27,"Community plate-spotting + app polling; site distinguishes 'unsupervised' count from total 'rider vehicles' and inactive/test-fleet Cybercabs","Cited via CleanTechnica 2026-05-13 (""Tesla is rolling out more unsupervised robotaxis""); same snapshot showed 48 total rider vehicles, 56 inactive, and 38 Cybercabs in the test fleet"
2026-05-13,Dallas,Robotaxi Tracker,https://robotaxitracker.com/vehicles?area=dallas&provider=tesla,5,"Same methodology as above","Cited via CleanTechnica 2026-05-13; small-sample count in a newly launched market, likely undercounts due to limited app-polling coverage"
2026-05-13,Houston,Robotaxi Tracker,https://robotaxitracker.com/vehicles?area=houston&provider=tesla,6,"Same methodology as above","Cited via CleanTechnica 2026-05-13"
2026-05-26,Austin,Robotaxi Tracker,https://robotaxitracker.com/,14,"Same methodology as above","Cited via Electrek 2026-05-26 (""Tesla Robotaxi fleet is actually shrinking, not growing""); part of a total unsupervised fleet of 20 across TX (Austin 14 + Dallas 3 + Houston 3); Tesla's total active ride-hailing fleet across ALL locations (incl. supervised Bay Area) fell to 34, down from 165 reported in late April 2026"
2026-05-26,Dallas,Robotaxi Tracker,https://robotaxitracker.com/,3,"Same methodology as above","Cited via Electrek 2026-05-26; down from 5 on 2026-05-13"
2026-05-26,Houston,Robotaxi Tracker,https://robotaxitracker.com/,3,"Same methodology as above","Cited via Electrek 2026-05-26; down from 6 on 2026-05-13"
2026-05-26,San Francisco Bay Area,Robotaxi Tracker,https://robotaxitracker.com/,9,"Same methodology as above","Cited via Electrek 2026-05-26; down sharply from 107 of a 165-vehicle total active fleet reported in late April 2026 -- one of the largest single swings recorded by any tracker snapshot in this dataset; unclear if this reflects a genuine fleet reduction or a change in what the tracker counts as 'active'"
2026-06-03,Austin,Robotaxi Tracker,https://robotaxitracker.com/,20,"Same methodology as above","Cited via CleanTechnica 2026-06-03, coinciding with the Austin-metro-wide geofence expansion announcement; up from 14 on 2026-05-26 but still down from 27 on 2026-05-13"
