date,geography,metric_type,value,is_official,source_url,notes
2018-12-05,Phoenix,service_launch_marker,1,TRUE,https://techcrunch.com/2018/12/05/waymo-launches-self-driving-car-service-waymo-one,"Waymo One commercial launch in Phoenix (limited, Early Riders); not a ridership count."
2023-05,all,weekly_paid_trips,10000,TRUE,https://www.gurufocus.com/news/2878459/waymo-achieves-10-million-rides-milestone-amid-expansion-efforts,"Cited as the baseline 'weekly rides in May 2023' figure Waymo/press used when describing later 20x-25x growth; original primary disclosure not independently re-verified beyond secondary citation."
2023-08,all,weekly_paid_trips,10000,TRUE,https://www.cbtnews.com/waymo-hits-10m-driverless-rides-eyes-expansion-across-u-s/,"Alternate secondary source cites 'August 2023' rather than May 2023 for the ~10,000/week baseline - flagged as a minor date discrepancy across sources."
2024-05-09,all,weekly_paid_trips,50000,TRUE,https://techcrunch.com/2026/03/27/waymo-skyrocketing-ridership-in-one-chart/,"50,000 weekly paid robotaxi trips reached (date per TechCrunch ridership retrospective chart)."
2024-08-20,all,weekly_paid_trips,100000,TRUE,https://www.teslarati.com/waymo-100000-paid-rides-week/,"Waymo announced 100,000 paid rides/week milestone."
2024-10-29,all,weekly_paid_trips,150000,TRUE,https://www.forbes.com/sites/alanohnsman/2024/10/29/alphabets-waymo-logging-150000-robotaxi-rides-and-1-million-miles-a-week/,"150,000 weekly rides and 1 million autonomous miles/week disclosed."
2024-11-29,all,weekly_paid_trips,175000,TRUE,https://www.thedriverlessdigest.com/p/waymos-2025-year-in-review-the-year,"175,000 weekly rides cited as the Nov 2024 figure in Driverless Digest year-in-review compilation of Waymo-disclosed numbers."
2024,all,cumulative_rides_annual,4500000,FALSE,https://www.thedriverlessdigest.com/p/waymos-2025-year-in-review-the-year,"Approx. 4.5 million total trips given in 2024, per Driverless Digest analysis; described as roughly one-third of the 2025 total (14M) - treat as an estimate/derived figure, not a direct Waymo-stated annual total."
2025-02-27,all,weekly_paid_trips,200000,TRUE,https://www.roadtoautonomy.com/waymo-200k-paid-rides-week/,"Alphabet CEO Sundar Pichai disclosed 200,000+ weekly rides on Alphabet Q4 2024 earnings call, a 20x increase from ~10,000/week in May 2023."
2025-04-24,all,weekly_paid_trips,250000,TRUE,https://www.cnbc.com/2025/04/24/waymo-reports-250000-paid-robotaxi-rides-per-week-in-us.html,Disclosed on Alphabet Q1 2025 earnings call.
2025-04,all,cumulative_rides_monthly,1000000,TRUE,https://waymo.com/blog/2025/12/2025-year-in-review/,First month Waymo crossed 1 million rides in a single month (per 2025 year-in-review post).
2025-05,all,cumulative_rides,10000000,TRUE,https://www.gurufocus.com/news/2878459/waymo-achieves-10-million-rides-milestone-amid-expansion-efforts,"10 million cumulative rides milestone reached (article published 2025-06-02, referencing the milestone as recently achieved); described as a doubling in five months from ~5 million."
