geography,state,country,metro_area,date_service_announced,date_public_launch,access_type_at_launch,current_status,official_fleet_size,official_fleet_size_date,official_fleet_size_source_url,notes,last_updated
Austin,Texas,USA,Austin-Round Rock,2025-04-22,2025-06-22,"Invite-only Early Access riders via Robotaxi app; in-car safety monitor in front passenger seat (not a driver); ~10-20 Model Y vehicles; flat $4.20 promotional fare",Active; expanding geofence and fleet; Tesla's purpose-built Cybercab entered commercial service here in Sept 2026,10,2025-06-22,https://www.cnbc.com/2025/06/20/tesla-robotaxi-launch-austin.html,"Musk said launch would start with ~10 vehicles (CNBC 2025-06-20/22). Fleet grew and safety monitors began moving from front passenger seat to trailing chase car and then some vehicles went fully unsupervised starting ~2025-12 to 2026-01 (Electrek/CNBC 2026-01-22). Musk's stated goal of 500 vehicles by end of 2025 was not met (Electrek 2025-11-26, ""slashes fleet goal from 500 to ~60""). Geofence grew from an ~18-20 sq mi launch footprint (DriveTeslaCanada retrospective) to ~243-245 sq mi by 2025-10-28 (supervised/app-wide service area; DriveTeslaCanada), then the UNSUPERVISED service was extended to match that full ~245 sq mi footprint on 2026-06-03 covering Pflugerville, Manor, Gigafactory Texas and the airport (CleanTechnica 2026-06-03). NHTSA opened an informal inquiry within a day of the June 2025 launch after erratic-driving videos surfaced (CNBC 2025-06-23); CBS News reported 14 crashes since launch as of its report. UPDATE 2026-09-23 (re-verified): geofence expanded again ~9% on/around 2026-08-31 to ~264 sq mi (NotATeslaApp, citing 244->264 sq mi and growth toward Pflugerville along US-183/I-35), while a same-week TeslaOracle/Statesman report described the post-expansion area as ~288 sq mi -- treat 264-288 sq mi as the current range, both describing the same Aug-2026 expansion. Tesla held an invite-only Cybercab launch event at ACL Live in Austin on 2026-09-03 (Musk did not attend; no livestream materialized per Forbes/Motor1), and paid Cybercab rides began in a limited part of Austin on 2026-09-04. Cybercab TX DMV registrations jumped from 7 to 45 within the launch week (Teslarati), and Tesla's TX-statewide (Austin+Dallas+Houston) registered AV count reached 420 (375 Model Y + 45 Cybercab) as of 2026-09-02 (NextBigFuture/texasavtracker.com), vs Waymo's 988 in TX the same date. NHTSA opened Audit Query AQ26002 into Tesla's FMVSS self-certification of the Cybercab on 2026-09-03 (same day as the Austin launch) -- examining how a vehicle with no steering wheel/pedals/mirrors was certified -- and escalated it to a formal Special Order on 2026-09-10, with Tesla's response due 2026-09-30 (NHTSA press release; TechCrunch; Electrek 2026-09-04). Tesla announced Robotaxi crossed 1,000,000 cumulative UNSUPERVISED miles on 2026-09-03, up from 380,000 miles at the 2026-07-22 Q2 2026 earnings call (~620,000 miles added in ~6 weeks); Teslarati reported ~200 vehicles now operating unsupervised across Austin/Dallas/Houston combined, with zero notable safety incidents claimed to date (Electrek 2026-09-03).",2026-09-23
San Francisco Bay Area,California,USA,San Francisco-Oakland-San Jose,2025-07-25,2025-07-30,"Invite-only for select Tesla owners via Robotaxi app; human safety driver in driver's seat (required under CA DMV testing permit, not a driverless deployment)",Active but small-scale; safety driver still legally required as of 2026-09; CPUC continues to state Tesla is not operating an autonomous vehicle service,unknown (city-specific figure never disclosed),,,"Tesla only holds a CPUC transportation charter-party carrier (TCP) permit plus a CA DMV permit to test with a safety driver; CPUC has confirmed Tesla has NOT applied for the driverless/autonomous passenger service authorization needed to run an actual robotaxi in CA (CNBC 2025-07-25; ABC7 2025-07/2025). Geofence spans from north of the Golden Gate Bridge to San Jose, with invite-only rides confirmed in San Francisco, Berkeley, Oakland, Hayward, Fremont and San Jose specifically (NotATeslaApp 2025-07-25/2962; DriveTeslaCanada). Musk stated at the Q4 2025 earnings call (2026-01-28) that the combined Austin+Bay Area fleet was ""well over 500"" vehicles, but this is not broken out by geography. Independent tracker (Robotaxi Tracker, via Electrek) put active Bay Area fleet at ~107-168 vehicles in April 2026, collapsing to ~9 active by late May 2026 (Electrek 2026-05-26). UPDATE 2026-09-23 (re-verified): no geofence expansion or fleet-size disclosure specific to the Bay Area was found since July 2026. Electrek (2026-03-25) reported CPUC stating plainly that ""Tesla is not operating an autonomous vehicle service"" in California and holds only the same charter-party-carrier permit a limousine company gets, with no AV safety reporting or quarterly filings; CPUC further indicated Tesla will not receive a CA AV permit before the end of 2026 and has not applied for one (evxl.co 2026-03-27, corroborating). For competitive context, Waymo won CPUC approval on 2026-08-14 to expand across 18 California counties (Electrek), underscoring the regulatory gap between the two companies' Bay Area status.",2026-09-23
Dallas,Texas,USA,Dallas-Fort Worth,2026-01-28,2026-04-18,"Public Robotaxi app (same app as Austin); fully unsupervised (no human safety driver or monitor) from launch, but very small initial fleet (~1-2 vehicles visible at launch per early tracker reports)",Active; unsupervised; fleet and geofence both growing,unknown (city-specific figure never disclosed by Tesla),,,"Announced as part of a 7-city 1H-2026 expansion list (Dallas, Houston, Phoenix, Miami, Orlando, Tampa, Las Vegas) in Tesla's Q4 2025 shareholder deck released with Q4 2025 earnings on 2026-01-28 (Teslarati). Launched with Houston on 2026-04-18, four days ahead of Tesla's Q1 2026 earnings report (mlq.ai; NotATeslaApp #4004; Electrek 2026-04-18). Initial geofence ~30-35 sq mi (~31 sq mi per later retrospective reporting). Texas DMV (SB 2807) registration data (a state regulatory record, not a Tesla-disclosed per-city number) showed Tesla's statewide TX fleet (Austin+Dallas+Houston combined) at 42 vehicles as of 2026-05-28, versus Waymo's 577 (TechCrunch 2026-05-28); that statewide TX count reportedly grew to ~175 by 2026-07-03 (Benzinga), then to 420 (375 Model Y + 45 Cybercab) by 2026-09-02 vs Waymo's 988 (NextBigFuture/texasavtracker.com). Independent tracker reports put Dallas-specific unsupervised count at ~5 (2026-05-13, CleanTechnica) then ~3 (2026-05-26, Electrek). UPDATE 2026-09-23 (re-verified): Dallas geofence more than doubled on/around 2026-08-29, from ~31 sq mi to ~81 sq mi (a ~158-161% increase), extending west toward Irving/US-183 and the I-30 corridor and south through downtown to I-35E (NotATeslaApp; TeslaOracle 2026-09-01). Every Dallas ride continues to run fully unsupervised (Teslaoracle 2026-09-20).",2026-09-23
Houston,Texas,USA,Houston-The Woodlands-Sugar Land,2026-01-28,2026-04-18,"Public Robotaxi app; fully unsupervised from launch; very small initial fleet",Active; unsupervised; small fleet; large Cybercab presence spotted ahead of a possible expansion/launch,unknown (city-specific figure never disclosed by Tesla),,,"Same 2026-01-28 announcement and 2026-04-18 launch as Dallas (see Dallas row and sources). Initial geofence ~12-15 sq mi (mlq.ai), described in later reporting as a ~21-24 sq mi zone in northwest Harris County (Jersey Village/Willowbrook area, ~14 miles from downtown, along a ~5.5-mile stretch of FM 1960) -- it is unclear from available reporting whether this reflects an actual geofence expansion (no expansion announcement was found, unlike Austin/Dallas) or simply a more precise later measurement of the same launch-day area; flagged as uncertain. Statewide TX DMV registration figure of 42 (2026-05-28), growing to ~175 (2026-07-03) and 420 (2026-09-02), is combined across Austin/Dallas/Houston and not broken out by city (TechCrunch; Benzinga; NextBigFuture). Independent tracker reports: Houston-specific unsupervised count ~6 (2026-05-13, CleanTechnica) then ~3 (2026-05-26, Electrek). UPDATE 2026-09-23 (re-verified): no confirmed Houston geofence expansion event found, but TeslaOracle (2026-09-20) reported ""a large number"" of Cybercabs newly spotted in Houston -- the first time Cybercabs have been seen there in volume -- read by the outlet as a signal of an imminent Houston geofence expansion and/or Cybercab launch there, not yet confirmed as of this research date.",2026-09-23
Miami,Florida,USA,Miami-Fort Lauderdale,2026-01-28,2026-07-03,"Public Robotaxi app (Android/iOS); fully unsupervised from day one, no safety driver or in-car monitor",Active; unsupervised; small fleet; geofence unchanged since launch as of 2026-09,unknown (Tesla did not disclose a fleet number at launch),,,"Miami was included in the 7-city 1H-2026 expansion list announced 2026-01-28. Launched 2026-07-03 as Tesla's first driverless (no in-car safety monitor) market outside Texas/California (TechTimes 2026-07-04; Electrek 2026-07-03; Fox News). Geofence ~10-14 sq mi in western Miami-Dade (West Miami toward Doral/Sweetwater), excluding downtown Miami, Brickell, Wynwood, the Design District, Miami Beach and Miami International Airport (Fox News; TechTimes; Electrek service-area map). Field reports / plate-spotting cited by Automotive World put the visible fleet at 2 vehicles on launch day, growing to 3 within 48 hours -- not an official Tesla figure. UPDATE 2026-09-23 (re-verified): no geofence expansion or fleet-size update specific to Miami was found in this research pass; it remains Tesla's smallest confirmed active Florida market by area.",2026-09-23
Orlando,Florida,USA,Orlando-Kissimmee-Sanford,2026-01-28,2026-07-21,"Public Robotaxi app (Android/iOS); fully unsupervised, no safety driver or in-car monitor",Active; unsupervised; geofence unchanged since launch as of 2026-09,unknown,,,"Announced 2026-01-28 as part of the 7-city list; the Q1 2026 earnings deck (2026-04-22) had listed Orlando/Tampa/Phoenix/Miami/Las Vegas as pushed to an undated ""preparations underway"" status (Electrek 2026-04-22), but Orlando still launched 2026-07-21, 18 days after Miami. Geofence ~12-15 sq mi covering eastern/southeastern Orlando (Conway, Lee Vista), bounded by the Beachline Expressway and Central Florida GreeneWay, north of the airport and excluding Walt Disney World/Universal Orlando/SeaWorld (NotATeslaApp #4470); a separate, less-precise Automotive World estimate described the zone as possibly 25-45 sq mi along the Semoran Blvd/Lee Vista corridor -- flagged as a lower-confidence alternate estimate, not independently corroborated. Tesla did not disclose vehicle count or whether access is public or invite-only at launch (NotATeslaApp #4470). UPDATE 2026-09-23 (re-verified): no geofence expansion found since the 2026-07-21 launch.",2026-09-23
Tampa,Florida,USA,Tampa-St. Petersburg-Clearwater,2026-01-28,2026-07-21,"Public Robotaxi app (Android/iOS); fully unsupervised, no safety driver or in-car monitor","Active; unsupervised; limited downtown-only coverage, unchanged since launch as of 2026-09",unknown,,,"Same 2026-01-28 announcement and 2026-07-21 launch date as Orlando (see Orlando row). Geofence ~4-5 sq mi covering central Tampa neighborhoods north of Downtown and Hyde Park (West Tampa, Tampa Heights, Seminole Heights); explicitly excludes Tampa International Airport, South Tampa, Busch Gardens, and most suburbs (NotATeslaApp #4470; TBBW 2026-07-21). Tesla did not disclose fleet size or public-vs-invited access (NotATeslaApp #4470). UPDATE 2026-09-23 (re-verified): no geofence expansion found since the 2026-07-21 launch.",2026-09-23
Phoenix,Arizona,USA,Phoenix-Mesa-Chandler,2026-01-28,,"Not yet launched as of 2026-09-23 (staging/testing observed, no public unsupervised rides confirmed)","Not launched; regulatory groundwork (safety-driver-only TNC permit) in place; Tesla's own Q2 2026 disclosure still lists Phoenix as ""preparations underway"" with no launch date given",0 (pre-launch),,,"Arizona Department of Transportation granted Tesla a Transportation Network Company (TNC) permit effective 2025-11-17, allowing paid ride-hailing statewide but ONLY with a human safety driver -- it does not authorize driverless operation (InsideEVs; Electrek 2025-11-19; AZFamily 2025-11-19). ~60 Robotaxi-configured Model Ys (with rear-camera washers, a Robotaxi-specific hardware change) were spotted staged in a Phoenix parking lot in ~April 2026 (Basenor; Autonocion). Tesla has named 9 Arizona cities (incl. Phoenix, Scottsdale, Tempe) for eventual Cybercab rollout. UPDATE 2026-09-23 (re-verified): Phoenix remains unlaunched. Multiple September 2026 searches (thechargeport.com status page, last verified 2026-09-05; AZFamily; Wikipedia cross-check) consistently describe Phoenix as ""Preparations Underway"" with still no confirmed unsupervised/public launch date -- no material change in regulatory or operational status versus 2026-07-22.",2026-09-23
Las Vegas,Nevada,USA,Las Vegas-Henderson-Paradise,2026-01-28,,Not yet launched as of 2026-09-23 (AVNC commercial permit APPROVED 2026-08-20/21; launch pending completion of administrative/regulatory steps),"Regulatory approval obtained (up to 5,000 vehicles authorized); commercial service has not yet begun; Tesla has a 120-day window from approval to begin operating",0 (pre-launch),,,"Nevada DOT approved Tesla for AV testing in the Las Vegas Valley (~Sept 2025). Tesla Robotaxi LLC filed an Autonomous Vehicle Network Company (AVNC) permit application with the Nevada Transportation Authority (Docket 26-05015) on 2026-06-05, requesting authority for up to 5,000 vehicles in year one; public comment period ran through 2026-07-05 and the application was still in staff review as of 2026-07-22, with no approval yet announced (DriveTeslaCanada; Review-Journal; CDC Gaming; Basenor). Tesla has invested ~$3.1M in a Las Vegas depot at 6170 Mohawk St with 8 Superchargers and 6 car lifts, and holds 2 Clark County business licenses (auto wash/detailing; Fremont St admin office) (Review-Journal). Gold-colored Cybercabs have been spotted testing in Southern Nevada (TeslaNorth 2026-06-22). MAJOR UPDATE 2026-09-23 (re-verified): on 2026-08-20/21, the Nevada Transportation Authority UNANIMOUSLY APPROVED commercial AVNC permits for Tesla (up to 5,000 vehicles), Waymo (1,000) and Uber (1,000) to operate in Clark County (TechCrunch 2026-08-20; Engadget; GuruFocus; TeslaOracle 2026-08-21; Basenor). This is a regulatory green light, not a launch: all three companies must still complete vehicle inspections, insurance filings and rate approval, and have 120 days from the August approval (i.e., roughly by mid-to-late December 2026) to begin commercial operation; as of 2026-09-23 no company, including Tesla, had published a Las Vegas start date or begun paid rides (TechCrunch 2026-08-20; thechargeport.com, last verified 2026-09-05).",2026-09-23
Charlotte,North Carolina,USA,Charlotte-Concord-Gastonia,,,Not launched; pre-permit staging/testing only as of 2026-09-23,"Not launched; no public service, permit, or announced date; Tesla is visibly staging/testing vehicles and has posted a local operator job listing",0 (pre-launch),,,"Not part of Tesla's officially announced 7-city 1H-2026 expansion list (Dallas/Houston/Phoenix/Miami/Orlando/Tampa/Las Vegas). First surfaced in this research via the independent tracker open-robotaxi.vercel.app, which lists Charlotte among cities ""in testing or permitting phases"" as of 2026-08-31. Confirmed independently: photos in late July 2026 showed 14 Cybercabs and 14 Model Ys with Texas manufacturer plates staged in a Charlotte-area lot (Axios Charlotte 2026-07-27/28; syndicated to Kiss 95.1/K104.7/V101.9/Power98/Country103.7). A Tesla job posting sought an ""AI Safety Operator"" in Charlotte to ""oversee daily operations of ride-hailing services"" and collect data by driving a designated area 6-8 hours/day (Axios Charlotte). Waymo has also been testing in Charlotte for months, setting up a possible multi-operator race there (Axios Charlotte). No NC regulatory filing, permit approval, or Tesla launch-date announcement was found as of 2026-09-23; treat this row as low-confidence/speculative pending an official Tesla announcement.",2026-09-23
