date,geography,population_covered,population_basis,is_official,source_url,notes
2020-10-08,Phoenix/Chandler/Tempe/Mesa/Gilbert,161000,metro population density x geofence sq mi (estimate),FALSE,https://waymo.com/blog/2020/10/waymo-is-opening-its-fully-driverless-service-in-phoenix/,"50 sq mi initial driverless service area (per Waymo/TechCrunch launch coverage) x Phoenix city population density of 3,228 people/sq mi (Census 2024 via en.wikipedia.org/wiki/Phoenix,_Arizona, citing Census QuickFacts) = ~161,400, rounded to ~161,000. ESTIMATE: service area was entirely within Phoenix city limits at this stage, so city density is a reasonable single-zone proxy; does not account for intra-city density variation (denser near the core, sparser toward the outskirts)."
2024-06-05,Phoenix/Chandler/Tempe/Mesa/Gilbert,1017000,metro population density x geofence sq mi (estimate),FALSE,https://waymo.com/blog/2024/06/largest-autonomous-ride-hail-territory-in-us-now-even-larger/,"315 sq mi service area (official Waymo blog figure for this expansion) x Phoenix city density 3,228/sq mi = ~1,016,820, rounded to ~1,017,000. ESTIMATE: the area now spans Tempe, Chandler, Mesa, Gilbert and Scottsdale in addition to Phoenix; those East Valley suburbs have broadly similar suburban densities (Chandler 4,276/sq mi per en.wikipedia.org/wiki/Chandler,_Arizona; Gilbert ~3,890/sq mi per en.wikipedia.org/wiki/Gilbert,_Arizona), so Phoenix's own density is used as a single representative figure rather than a full area-weighted five-city blend; the true figure could be moderately higher given Chandler/Gilbert are somewhat denser than Phoenix proper. MEDIUM CONFIDENCE."
2026-08-13,Phoenix/Chandler/Tempe/Mesa/Gilbert,1194000,metro population density x geofence sq mi (estimate),FALSE,https://www.azfamily.com/2026/08/13/waymo-expands-service-by-55-square-miles-adding-gilbert-chandler-neighborhoods/,"315 sq mi (2024-06-05 baseline) + 55 sq mi East Valley expansion (Gilbert, additional Chandler, San Tan Ranch, per azfamily.com/KTAR, 2026-08-13) = ~370 sq mi x Phoenix city density 3,228/sq mi = ~1,194,360, rounded to ~1,194,000. ESTIMATE, same single-zone-density caveats as the prior Phoenix row. Note some outlets (aztechcouncil.org) reported the increment as 45 sq mi rather than 55, and the resulting total as 'more than 350 sq mi' rather than 370 - kept azfamily/KTAR's 55-sq-mi figure but flagging this cross-source inconsistency as a source of additional uncertainty (roughly +/-5% on the sq-mi input alone). MEDIUM CONFIDENCE."
2023-08-10,San Francisco Bay Area (SF/Oakland/Peninsula/South Bay),876000,metro population density x geofence sq mi (estimate),FALSE,https://www.cpuc.ca.gov/news-and-updates/all-news/cpuc-approves-permits-for-cruise-and-waymo-to-charge-fares-for-passenger-service-in-sf-2023,"Service area was San Francisco city proper only at this point, ~47 sq mi (SF land area 46.92 sq mi per en.wikipedia.org/wiki/San_Francisco) x SF population density 18,633/sq mi (en.wikipedia.org/wiki/Demographics_of_San_Francisco, citing Census) = ~875,751, rounded to ~876,000. ESTIMATE; this figure roughly matches SF's actual total city population (~875k-885k depending on year), which is expected since the service area covered essentially the whole city at this stage. HIGH CONFIDENCE relative to other rows in this dataset (single, well-defined city boundary)."
2025-05-19,San Francisco Bay Area (SF/Oakland/Peninsula/South Bay),1115000,metro population density x geofence sq mi (estimate),FALSE,https://techcrunch.com/2025/05/19/waymo-gets-ok-to-expand-robotaxi-service-into-more-of-silicon-valley/,"Total service area grew to ~85 sq mi (SF plus initial Peninsula/Silicon Valley additions: Mountain View, Los Altos, Palo Alto, parts of Sunnyvale). Estimated in two zones: 47 sq mi (SF proper) x 18,633/sq mi (SF density) = 875,751, plus 38 sq mi (85-47) x 6,300/sq mi (blended Peninsula/South Bay density, averaging Mountain View 7,238, Sunnyvale 7,062, Palo Alto 3,363, and San Jose 7,364 people/sq mi per Census-derived city sources) = 239,400. Total = 1,115,151, rounded to ~1,115,000. ESTIMATE with a two-zone density blend; MEDIUM CONFIDENCE given some cross-source inconsistency in the exact sq-mi figure for this period (an Aug 2024 TechCrunch figure cited 55 sq mi for a similar-sounding expansion, vs. this May 2025 85 sq mi figure - the two may reflect different, non-overlapping announcements rather than a contradiction, but this was not fully disentangled)."
2025-11-12,San Francisco Bay Area (SF/Oakland/Peninsula/South Bay),2218000,metro population density x geofence sq mi (estimate),FALSE,https://sfstandard.com/2025/11/12/waymo-will-now-drive-bay-area-freeways-san-jos/,"Total Bay Area service area reached ~260 sq mi (per this dataset's geographies.csv, itself sourced from thelastdriverlicenseholder.com/Driverless Digest analysis) after South Bay/San Jose and freeway access were added. Estimated as 875,751 (SF proper, 47 sq mi x 18,633/sq mi) + 213 sq mi (260-47) x 6,300/sq mi blended Peninsula/South Bay density = 1,341,900. Total = 2,217,651, rounded to ~2,218,000. ESTIMATE; the underlying 260 sq mi figure is itself a secondary-source aggregate rather than a single official Waymo statement, so treat this row as LOWER CONFIDENCE than the SF-only rows above."
2026-05,San Francisco Bay Area (SF/Oakland/Peninsula/South Bay),2659000,metro population density x geofence sq mi (estimate),FALSE,https://www.kron4.com/news/bay-area/waymo-expands-service-to-cupertino-campbell/,"Total Bay Area service area passed 330 sq mi (per search-result summary of this article and corroborating coverage) after a further South Bay expansion into Cupertino, Campbell, Willow Glen, and Vista Park, dated to approximately May 2026. Estimated as 875,751 (SF proper) + 283 sq mi (330-47) x 6,300/sq mi blended density = 1,782,900. Total = 2,658,651, rounded to ~2,659,000. ESTIMATE, same blended-density method as prior Bay Area rows. LOW-MEDIUM CONFIDENCE: WebFetch of the source article returned HTTP 403 (blocked), so this row rests on a WebSearch result summary rather than the full primary article text, and the exact expansion date is approximate (month precision only)."
2024-11-12,Los Angeles / West LA / Santa Monica / Culver City / South LA,658000,metro population density x geofence sq mi (estimate),FALSE,https://www.roadtoautonomy.com/waymo-launch-los-angeles/,"80 sq mi initial LA public-launch service area x LA city population density 8,223/sq mi (Census Gazetteer 2025 data; LA land area 470.5 sq mi) = ~657,840, rounded to ~658,000. ESTIMATE; LA city density used as a single-zone proxy even though the service area also touches independently denser beach cities (Santa Monica, Culver City) - net effect on the estimate is likely small but was not independently verified. MEDIUM CONFIDENCE."
2025-06-17,Los Angeles / West LA / Santa Monica / Culver City / South LA,987000,metro population density x geofence sq mi (estimate),FALSE,https://techcrunch.com/2025/06/17/waymo-robotaxis-are-pushing-into-even-more-california-cities,"Service area grew to 120+ sq mi per this dataset's existing geographies.csv note (sourced from 2025 coverage of California expansions). 120 sq mi x 8,223/sq mi = ~986,760, rounded to ~987,000. ESTIMATE, same LA-city-density-as-proxy caveat as the row above. The exact date of reaching precisely '120 sq mi' is approximate - this June 2025 article is the nearest dated source for the CA expansion wave, not a figure directly stated in that specific article. MEDIUM-LOW CONFIDENCE on the date; MEDIUM on the density method."
2025-03-04,Austin,111000,metro population density x geofence sq mi (estimate),FALSE,https://www.cnbc.com/2025/03/04/waymo-uber-begin-offering-robotaxi-rides-in-austin-ahead-of-sxsw.html,"37 sq mi initial Austin public-launch service area x Austin city population density ~3,000/sq mi (979,882 population / 326.5 sq mi land area, Census 2024 estimate, per census.gov QuickFacts and areavibes.com cross-check) = ~111,000. ESTIMATE. MEDIUM-HIGH CONFIDENCE (single well-defined city, minimal density ambiguity)."
