date,geography,fleet_size,is_official,notes,source_url
2018-05-01,ALL_COMPANY,600,TRUE,"Fiat Chrysler completed delivery of 600 Pacifica Hybrid minivans to Waymo -- an order/delivery count, not confirmed as all simultaneously deployed",https://amp.cbc.ca/news/canada/windsor/waymo-wants-way-more-chrysler-pacificas-1.4686134
2025-05-05,ALL_COMPANY,1500,TRUE,"Fleet described as 'over 1,500 vehicles' at time of Mesa, AZ manufacturing-scale-up announcement (treated as floor value)",https://waymo.com/blog/2025/05/scaling-our-fleet-through-us-manufacturing/
2025-08-01,San Francisco Bay Area,800,TRUE,"Waymo disclosure to SF Examiner: 800+ vehicles in Bay Area commercial operation (component figure, not company total)",https://www.sfexaminer.com/news/transit/waymo-finally-admits-there-are-way-more-robotaxis-in-sf-now/article_9c1d1d93-276a-4644-858a-3c29bc25b407.html
2025-11-01,California (CPUC-registered),1429,TRUE,"CPUC filing showed 1,429 vehicles registered for CA operations statewide (875 based at SF depots specifically) -- CA-wide, not just SF/Bay Area, and not the full company total",https://www.sfexaminer.com/news/transit/waymo-finally-admits-there-are-way-more-robotaxis-in-sf-now/article_9c1d1d93-276a-4644-858a-3c29bc25b407.html
2025-11-01,US_ESTIMATE_THIRDPARTY,2500,FALSE,"Third-party estimate 'Waymo hits 2,500 robotaxis in US' (Carboncredits.com), used elsewhere in this dataset as the basis for several per-city estimates",https://carboncredits.com/waymo-hits-2500-robotaxi-in-u-s-the-future-of-driverless-rides/
2026-05-28,Texas (TxDMV registry),577,TRUE,"Texas SB2807 statewide AV registry -- regulatory count, not company-stated, Texas-only",https://techcrunch.com/2026/05/28/waymo-dominates-texas-autonomous-vehicle-registrations-as-tesla-trails-behind/
2026-06-08,ALL_COMPANY,3871,TRUE,"NHTSA voluntary recall filing: 3,871 fifth-generation vehicles recalled -- a de facto fleet-size disclosure via regulatory filing",https://www.cnbc.com/2026/06/18/waymo-nhtsa-voluntary-recall-robotaxis-entered-freeway-construction-zones.html
2026-07-08,ALL_COMPANY,3500,TRUE,"Company statement: fleet is 'roughly 3,500 robotaxis' -- stated same week as, and slightly below, the 3,871-vehicle NHTSA recall filing a month earlier; both kept as reported rather than reconciled",https://waymo.com/blog/shorts/ro-den-lv-sd-tmpa/
2026-08-14,ALL_COMPANY,3000,TRUE,"CPUC 18-county approval filing cited a company-wide fleet of 'approximately 3,000 vehicles' plus 'almost 1,000 new Ojai vehicles' staged in Arizona -- notably LOWER than the June/July figures above; kept as reported rather than reconciled, illustrating how inconsistent Waymo's own disclosed totals are across different venues (earnings calls vs. regulatory filings)",https://electrek.co/2026/08/14/waymo-cpuc-approval-california-expansion-18-counties/
2026-09-01,ALL_COMPANY,4000,TRUE,"Company-wide fleet reported at 'roughly 4,000 vehicles' (~300 of which are 6th-generation Ojai) as of the Denver/San Diego/Tampa launch coverage",https://techcrunch.com/2026/09/01/waymo-accelerates-robotaxi-expansion-with-launches-in-denver-san-diego-and-tampa/
2026-09-23,Texas (TxDMV registry),989,TRUE,"Texas SB2807 statewide AV registry: 989 vehicles (767 Jaguar I-PACE + 222 Zeekr RT), up from 577 in May 2026; live-rendered directly via fsddb.com/robotaxi",https://fsddb.com/robotaxi
