date,geography,metric_type,value,is_official,source_url,notes
2025-06-22,Austin,initial_fleet_size_at_launch,10,TRUE,https://www.cnbc.com/2025/06/20/tesla-robotaxi-launch-austin.html,"Not a ridership metric but the only official 'day one' figure Tesla gave; Musk said the service would start with about 10 vehicles before scaling up. Included for context since no ride-count figure exists this early."
2026-01-28,all markets (Austin + Bay Area combined),cumulative_paid_robotaxi_miles,700000,TRUE,https://www.teslarati.com/tesla-confirms-robotaxi-expansion-plans-new-cities-aggressive-timeline/,"Teslarati reporting on Tesla's Q4 2025 earnings/shareholder deck (2026-01-28): 'Tesla had already achieved nearly 700,000 paid Robotaxi miles since the service's June 2025 launch.' Miles, not ride counts -- Tesla does not disclose a ride count."
2025-12-31 (end of Q4 2025),all markets (Austin + Bay Area combined),cumulative_paid_robotaxi_miles,610000,TRUE,https://driveteslacanada.ca/news/tesla-robotaxi-usage-surges-in-q1-2026-as-paid-miles-nearly-triple/,"Cited from Tesla's own Q1 2026 shareholder update as the Q4 2025 end-of-quarter baseline (610,000 mi / 981,700 km) against which Q1 2026's ~1.7M mi figure is compared. Slightly lower than the ~700,000 mi figure reported alongside the 2026-01-28 earnings call itself -- both are 'official' Tesla-sourced numbers but from slightly different reporting windows/roundings; flagged as a minor discrepancy rather than reconciled."
2026-03-31 (end of Q1 2026),all markets (Austin + Bay Area + early Dallas/Houston),cumulative_paid_robotaxi_miles,1700000,TRUE,https://driveteslacanada.ca/news/tesla-robotaxi-usage-surges-in-q1-2026-as-paid-miles-nearly-triple/,"Tesla Q1 2026 shareholder update: cumulative paid Robotaxi miles reached ~1.7 million (2.73 million km) by end of Q1 2026, described elsewhere as 'nearly doubled sequentially' (Not a Tesla App Q1 recap) or 'nearly tripled' (headline of this source) versus the ~610k-700k baseline. Mileage only; Tesla has never disclosed a ride count or rides-per-day/week figure for Robotaxi."
2026-02-16,Austin,estimated_weekly_rides,unknown_but_implied_low,FALSE,https://electrek.co/2026/02/16/tesla-robotaxi-status-check-8-months-in/,"Article explicitly states 'Tesla won't disclose ride volume, but it is expected to be extremely low,' offering Waymo's reported ~20% share of all Uber rides in Austin as a contrasting benchmark (that Waymo figure is itself a third-party estimate, not official, and is about Waymo not Tesla)."
2026-06 (approx),Austin,estimated_weekly_rides,"low_thousands (rough order-of-magnitude estimate, no single number given)",FALSE,https://electrek.co/2026/06/03/tesla-robotaxi-expands-entire-austin-metro-only-20-vehicles/,"Third-party inference (not Tesla-published): with ~20 active vehicles, analysts/journalists estimate Tesla's weekly trip volume is capped in the 'low thousands,' roughly three orders of magnitude below Waymo's ~500,000 weekly paid rides across its 10-11 US metros. This is a back-of-envelope estimate derived from fleet size and typical utilization, not a directly measured or tracker-reported ride count."
2026-01-28,all markets combined,combined_fleet_size_statement,500+,TRUE,https://www.teslarati.com/tesla-confirms-robotaxi-expansion-plans-new-cities-aggressive-timeline/,"Not a ridership figure, included for cross-reference: Musk stated on the Q4 2025 earnings call that the combined Austin + Bay Area Robotaxi fleet was 'well over 500' vehicles -- a figure substantially higher than any independent tracker's count for the same period (~200 combined per Electrek 2026-02-16), illustrating the persistent gap between Tesla's official statements and third-party observed counts throughout this dataset."
2026-06-30 (end of Q2 2026),all markets (Austin + Bay Area + Dallas + Houston + Miami; Orlando/Tampa launched 2026-07-21 so mostly excluded from this window),cumulative_paid_robotaxi_miles,2500000,TRUE,https://www.notateslaapp.com/news/4481/summary-of-teslas-2026-q2-earnings-call-cybercab-fsd-ai4-and-more,"Tesla's Q2 2026 earnings call (2026-07-22): cumulative paid Robotaxi mileage reached 'approximately 2.5 million miles' (Not a Tesla App summary) -- a separate Electrek-sourced figure for the same call rounds this to '~2.4 million miles'; both are 'official' Tesla-sourced numbers from the same call, treated here as a ~2.4-2.5M range rather than reconciled to a single figure. Up from ~1.7M at end of Q1 2026."
2026-07-22,all markets combined,cumulative_unsupervised_miles,380000,TRUE,https://www.notateslaapp.com/news/4481/summary-of-teslas-2026-q2-earnings-call-cybercab-fsd-ai4-and-more,"New metric type in this dataset as of the 2026-09-23 refresh: Tesla's Q2 2026 earnings call disclosed cumulative UNSUPERVISED (no safety driver/monitor) Robotaxi miles of 380,000, with '0 notable incidents' over that distance. This is distinct from the broader 'cumulative paid Robotaxi miles' metric (2.4-2.5M for the same call), which includes supervised/safety-driver miles (e.g. all Bay Area miles to date). Also disclosed: total Robotaxi miles driven expected to grow >10%/week; unsupervised operations now span 7 metro areas; fleet running early FSD v15 builds."
2026-09-03,all markets combined (unsupervised only),cumulative_unsupervised_miles,1000000,TRUE,https://electrek.co/2026/09/03/tesla-announces-1-million-unsupervised-miles-driven-by-robotaxi/,"Tesla (via AI VP Ashok Elluswamy) announced at the Cybercab launch event that unsupervised Robotaxi driving crossed 1,000,000 cumulative miles -- up from 380,000 at the 2026-07-22 Q2 earnings call, i.e. roughly 620,000 unsupervised miles added in about 6 weeks, a sharp acceleration versus the >1-year it took to reach the first 380,000. Reported alongside: ~200 vehicles now operating unsupervised (Teslarati), no major safety incidents recorded. Not a ride-count figure -- Tesla still does not disclose a paid-ride volume for Robotaxi as of 2026-09-23 (multiple September 2026 searches for 'Tesla robotaxi rides per week' continued to return only third-party fleet-size-based inferences, never a Tesla-disclosed number)."
